name,owner,phone,website,email,logo,street,city,zip_code
Fitness Emotion GmbH,Patrick Schenk,+41 56 402 00 10,www.fitness-emotion.com,info@fitness-emotion.com,https://admin.fitness-classification.ch//storage/media/456/6356b78da53eb.jpg,Pfadackerstrasse 7,Spreitenbach,8957
Fitness Energie,Frédy Hirter,+41 21 701 47 00,fitness-energie.ch,info@fitness-energie.ch,https://admin.fitness-classification.ch//storage/media/391/624c28f5ece87.JPG,Bas de Plan 7,Bussigny-Lausanne,1030
fitness energym,,+41 26 400 00 77,www.energym.ch,fitness@energym.ch,,route du pâqui 8,Corminboeuf,1720
Fitnesscenter Mühlematt,Valerio Carusone,+41 61 401 16 61,,kontakt@fitness-muehlematt.ch,,Mühlemattstrasse 22,Oberwil BL,4104
Fitness Vitamine,,+41 27 722 44 00,www.fitness-vitamine.ch,info@fitness-vitamine.ch,https://admin.fitness-classification.ch//storage/media/396/624c295522450.jpg,Rue du Châble-Bét 20,Martigny,1920
Fitness-Huus,Regula Brigger,+41 71 888 66 24,www.fitness-huus.ch,info@fitness-huus.ch,,Hof 141,Lutzenberg,9426
Fitnesstower medical,Marcel Niederer,+41 81 286 36 00,www.fitnesstower.ch,info@fitnesstower.ch,https://admin.fitness-classification.ch//storage/media/466/637886039f6a9.jpg,Spundisstrasse 17,Chur,7000
Fitnesstreff Niklaus AG,Stephan Niklaus,+41 61 711 40 24,www.fitnesstreff.ch,info@fitnesstreff.ch,,Am Bruggrain 1,Reinach,4153
Fitnew'form,,+41 24 441 10 63,www.fitnewform.ch,info@fitnewform.ch,https://admin.fitness-classification.ch//storage/media/21/624712e5884d5.jpg,Chemion de l'Etraz 18,Orbe,1350
Fit-Treff,Fabienne Christinger,+41 71 880 08 81,wwwl.fit-treff-ruderbach.ch,squash.ruderbach@bluewin.ch,,Ruderbach 40,St. Margrethen SG,9430
Fitwork GmbH,Georg Mahler,+41 41 260 45 05,www.fitwork.ch,info@fitwork.ch,,Buchenstrasse 4,Emmenbrücke,6020
Forum Fitness,Sibylle Feigenwinter,+41 61 322 85 85,nysc.ch,forum@nysc.ch,https://admin.fitness-classification.ch//storage/media/507/64799bf405931.jpg,St. Johanns-Vorstadt 41,Basel,4056
Free Time Club,Paride Oggioni,+41 91 973 30 50,www.freetimeclub.ch,info@freetimeclub.ch,,Via delle Scuole 34,Lugano,6900
fritz bewegt mich AG,Ulrike Zauner,+41 52 544 48 80,www.fritzbewegtmich.ch,info@fritzbewegtmich.ch,https://admin.fitness-classification.ch//storage/media/307/624c20ce99efb.jpg,Schmittestrasse 8,Illnau,8308
Country club geneva,Frederic Bouvier,+41 22 959 79 00,www.countryclubgeneva.ch,info@countryclubgeneva.ch,,Route de Collex 47,Bellevue,1293
"Gimnasium Health, Fitness, Beauty & Spa",Paolo Rho,+41 91 820 10 00,www.gimnasium.ch,info@gimnasium.ch,https://admin.fitness-classification.ch//storage/media/254/624c1b6d6ce71.jpg,Via S. Bernardino 24,Castione,6532
Greenfit,,+41 27 565 41 31,www.green-fit.ch,info@green-fit.ch,,Industriestrasse 16,Salgesch,3970
Gym Tonic Sa,Matteo Italica,+41 91 924 96 66,www.gymtonic.ch,gymlugano@gmail.com,,Via Cantonale 3,Lugano,6900
Halle 41 Fitness & Health GmbH,,+41 44 814 19 19,www.halle41.ch,info@halle41.ch,https://admin.fitness-classification.ch//storage/media/302/624c206ddc00c.jpg,Steinackerstrasse 41,Kloten,8302
Harmony Denges,Jean-Etienne Lasnier,+41 21 803 03 33,harmony.ch,denges@harmony.ch,,Ch. de la Crosette 4,Echandens-Denges,1026
Harmony Blandonnet,Julien Bigrat,+41 22 341 42 43,harmony.ch,blandonnet@harmony.ch,,Route de Pré-Bois 6,Vernier,1214
Harmony La Praille,Alice Honvault,+41 22 308 58 58,harmony.ch,praille@harmony.ch,,Route des Jeunes 10,Carouge GE,1227
Harmony Signy,Margaux Fournier,+41 22 363 88 55,harmony.ch,signy@harmony.ch,,En Fléchère,Signy-Centre,1274
Harmony Versoix,Leo Luppi,+41 22 950 40 50,www.harmony.ch,versoix@harmony.ch,https://admin.fitness-classification.ch//storage/media/11/624711691a7e7.jpeg,Ch. de la Scie 2,Versoix,1290
Highlight Training & Therapie,Pia Egger,+41 31 721 82 28,www.fitness-highlight.ch,rezeption@fitness-highlight.ch,https://admin.fitness-classification.ch//storage/media/92/624b121ae8778.png,Erlenauweg 15,Münsingen,3110
Hôtel et Centre Thermal d'Yverdon-les-Bains SA,,+41 24 423 20 32,www.bainsyverdon.ch,forme@bainsyverdon.ch,,Avenue des Bains 22,Yverdon-les-Bains,1400
INDIGO at SIX,,+41 58 399 44 77,,six@indigofitness.ch,,Hardturmstrasse 201,Zürich,8005
INDIGO Fitness Club Basel,Gian Godenzi,+41 61 271 21 00,www.indigofitness.ch/basel,basel@indigofitness.ch,,Aeschengraben 29,Basel,4051
INDIGO Fitness Zürich AG,Lorenz Stäheli,+41 44 212 12 00,www.indigofitness.ch/zuerich,zuerich@indigofitness.ch,,Blaufahnenstrasse 3,Zürich,8001
InForm Fitnessclub AG,,+41 61 821 90 90,,info@inform-fitnessclub.ch,,Rütiweg 9,Pratteln,4133
Evolution-fit,Donatella Palmieri,+41 61 312 77 66,www.evolution-fit.ch,info@evolution-fit.ch,https://admin.fitness-classification.ch//storage/media/486/63bf221b33e4f.png,Gartenstrasse 13,Birsfelden,4127
InsGym,Frank Lachmuth,+41 31 557 24 22,insgym.ch,info@insgym.ch,https://admin.fitness-classification.ch//storage/media/99/624b137b88c9a.png,Rämistrasse 5,Ins,3232
Joggeli Fitness,Nicolas Arrigo,+41 61 312 36 36,wwww.nysc.ch,joggeli@nysc.ch,,Gellertstrasse 235,Basel,4052
Keops Club Fitness SA,,+41 21 624 24 10,www.keops.ch,info@keops.ch,,Chemin du Martinet 28,Lausanne,1007
Connection Wolhusen,Willi Zihlmann,+41 41 49 04 040,www.connection-wolhusen.ch,connection@cws-gruppe.ch,https://admin.fitness-classification.ch//storage/media/485/63bd1db0dcd3e.jpg,Bergboden 7,Wolhusen,6110
Ladies Gym AG Dietikon,Carlo Eichenberger,+41 44 745 30 00,ladiesgym.ch,info@ladiesgym.ch,https://admin.fitness-classification.ch//storage/media/467/637ca752d8f1b.jpg,Ueberlandstrasse 129,Dietikon,8953
Lady L!FE Training,Anne-Kathrin Wilm,+41 61 263 18 18,www.life-swiss-healthclub.ch,info@lady-life-training.ch,https://admin.fitness-classification.ch//storage/media/142/624b1a720f118.jpg,Leonhardsgraben 8,Basel,4051
Ladyfit Lyss GmbH,Gabriele Heukeroth,+41 32 530 26 70,www.ladyfit-lyss.ch,info@ladyfit-lyss.ch,,Hauptstrasse 20,Lyss,3250
Yess Fitness,,+41 27 456 56 95,www.yess-fitness.com,yessfitness@hotmail.com,https://admin.fitness-classification.ch//storage/media/81/624ad220e945b.jpg,Rue de la Monderèche 18,Sierre,3960
Lifestyle Fitness GmbH,Bernat Sacelotti,+41 32 652 71 41,www.lifestyle-fitness.ch,grenchen@lifestyle-fitness.ch,,Bettlachstrasse 8,Grenchen,2540
Luxor Fitness,Lucas Anliker,+41 44 202 38 38,tsag.ch,lsc@tsag.ch,,Glärnischstrasse 35,Zürich,8002
Malcafit SA,Raffaele Pellegrini,+41 91 606 55 53,www.malcafit.ch,info@malcafit.ch,,Via Industria 64,Caslano,6987
Max Fit & Well AG,Roland Brand,+41 62 922 52 52,www.maxfit.ch,kontakt@maxfit.ch,https://admin.fitness-classification.ch//storage/media/210/624c162ba02d2.jpg,Bleienbachstrasse 15,Langenthal,4900
Natural Premium Training AG,,+41 71 630 00 90,www.naturalpremiumtraining.ch,info@naturalpremiumtraining.ch,,Weinfelderstr. 30a,Amriswil,8580
NESSFIT,,+41 32 740 17 17,www.nessfit.ch,contact@nessfit.ch,https://admin.fitness-classification.ch//storage/media/44/6247162dd939d.png,Avenue Edouard-Dubois 20,Neuchâtel,2000
Athletic Fitness Cossonay SA,Joel Bornand,+41 21 861 31 00,www.new-athletic-fitness.ch,contact@new-athletic-fitness.ch,https://admin.fitness-classification.ch//storage/media/17/6247128359a6a.png,Rte de La Sarraz 11,Cossonay-Ville,1304
PHYSICAL CENTER MAVRIC AG,Muamer Mavric,+41 41 670 04 04,www.physicalcenter.ch,mavric@physicalcenter.ch,,Eichistrasse 1,Alpnach Dorf,6055
Therapie & Trainingszentrum Rothenburg,Jurriaan Rombouts,+41 41 281 50 30,www.ttz-rothenburg.ch,physiotherapie@ttz-rothenburg.ch,,Stationsstrasse 8,Rothenburg,6023
Physio Care Center de Leur AG,Jeroen de Leur,+41 55 418 30 40,www.physio-care-center.ch,info@physio-care-center.ch,,Werner-Kälin-Strasse 11,Einsiedeln,8840
Physio Polasek,Ferdinand Polasek,+41 61 421 31 33,www.polasek.ch,physio@polasek.ch,,Haupstrasse 1,Binningen,4102
Physio Training,Andi C. Hedinger,+41 52 681 29 04,www.physiotraining.com,info@physiotraining.com,https://admin.fitness-classification.ch//storage/media/294/624c1fd59a1a0.png,Hofackerstrasse 6,Wilchingen,8217
physio.works GmbH,,+41 55 246 38 39,www.physio-works.ch,physio.works@hin.ch,,Rosenthalstrasse 7b,Wald ZH,8636
physio+training niederer,,+41 55 533 06 50,www.physioniederer.ch,info@physioniederer.ch,https://admin.fitness-classification.ch//storage/media/354/624c259eaa12c.GIF,Churerstrasse 54,Pfäffikon SZ,8808
Physio-Fit PREMIUM TRAINING,Josef Burkardt,+41 44 861 00 25,www.physio-fit.ch,info@physio-fit.ch,https://admin.fitness-classification.ch//storage/media/482/63b7fce1b1d47.jpg,Hammerstrasse 6,Bülach,8180
physiofitryser gmbh,Christina Balzano,+41 62 874 47 74,www.physiofitryser.ch,physiofitryser@datacomm.ch,,Bahnhofstrasse 8,Laufenburg,5080
Fitness- und Gesundheitscenter Physioflex AG,Denise Zumsteg,+41 56 426 20 80,physioflex.ch,info@physioflex.ch,https://admin.fitness-classification.ch//storage/media/489/63c5bc7f2dc0c.jpg,Alberich-Zwyssigstrasse 83,Wettingen,5430
PhysioMed,Christian Locher,+41 56 426 80 60,www.physio-med.ch,info@physio-med.ch,,Landstrasse 115,Wettingen,5430
Physiotherapie und Trainingscenter Pawel Suchcicki,Pawel Suchcicki,+41 56 624 43 93,www.physiodottikon.ch,info@physiodottikon.ch,,Othmarsingerstrasse 3,Dottikon,5605
Plan C Fitness AG,Julia Vitelli,+41 41 340 11 11,www.plan-c-fitness.ch,info@plan-c-fitness.ch,,Industriestrasse 10,Kriens,6010
Power Gym Lichtensteig,Hancer Halil,+41 71 556 96 60,www.power-gym-lichtensteig.com,info@powergymschweiz.ch,,Hofstrasse 4,Lichtensteig,9620
Alix Sport di Paolo Medolago,Paolo Medolago,+41 91 646 38 36,oltreilfitness.com,info@oltreilfitness.com,https://admin.fitness-classification.ch//storage/media/483/63b8342c5e8e3.png,Via Borromini 20,Mendrisio,6850
Rennbahnklinik/Rennbahntraining,,+41 61 465 63 00,www.rennbahntraining.ch,info@rennbahntraining.ch,https://admin.fitness-classification.ch//storage/media/469/6399ce484e1e4.png,Kriegackerstrasse 100,Muttenz,4132
ROPE strength&athletic GmbH,,+41 31 352 06 81,www.ropefitness.ch,info@ropefitness.ch,https://admin.fitness-classification.ch//storage/media/82/624b1055d5a8f.jpg,Thunstrasse 8a,Bern,3005
S Fit Kerzers AG,Christoph Stucki,+41 77 538 33 37,www.s-fit.ch,info@s-fit.ch,https://admin.fitness-classification.ch//storage/media/97/624b12e630e8e.jpg,Industriestrasse 13,Kerzers,3210
SALVEO Fitness-Studio GmbH,Katja Jeger,+41 79 257 83 18,www.salveo-fitness.ch,info@salveo-fitness.ch,https://admin.fitness-classification.ch//storage/media/174/624b1fba8b961.png,Riedstrasse 8,Zwingen,4222
savo.ch Wankdorf AG,Savo Hertig,+41 31 305 88 55,www.savo.ch,wankdorf@savo.ch,https://admin.fitness-classification.ch//storage/media/88/624b11ba0db24.jpg,Wankdorfallee 5,Bern,3014
SportGYM AG,Raffael Rico,+41 62 791 41 30,sportgym.ch,info@sportgym.ch,https://admin.fitness-classification.ch//storage/media/9/6231b8515d5d4.jpg,Wallgrabenweg 13,Aarburg,4663
Sportcenter Aegeri,Dario Häusler,+41 41 750 48 72,www.sportcenteraegeri.ch,info@sportcenteraegeri.ch,,Zugerstrasse 79,Unterägeri,6314
Sport-Fitness-Center Schumacher AG,Roger Langel,+41 44 823 80 80,www.sportcenterschumacher.ch,info@sfcs.ch,https://admin.fitness-classification.ch//storage/media/330/624c23cba19f0.png,Am Stadtrand 46,Dübendorf,8600
Stepbystep fit AG,Susanne Christen,+41 62 822 97 27,www.stepbystep-aarau.ch,info@stepbystep-aarau.ch,,Kasinostrasse 38,Aarau,5000
Süssbach Therapien AG,Susanne Vogel,+41 56 462 64 30,www.suessbach-therapien.ch,physiotherapie@suessbach.ch,https://admin.fitness-classification.ch//storage/media/223/624c17ee55e74.jpg,Fröhlichstrasse 7,Brugg AG,5200
TC Training Center Heerbrugg,Andryn Savary,+41 71 720 10 70,www.tc-training.fit,info@tc-training.fit,,Widnauerstrasse 8,Heerbrugg,9435
THE GYM AG,Reto Maissen,+41 56 560 84 48,www.the-gym.ch,info@the-gym.ch,https://admin.fitness-classification.ch//storage/media/224/624c18273d63f.png,Industriestrasse 33,Birr-Lupfig,5242
Top-Fit Fitness Club AG,Patrick Salzmann,+41 44 953 33 00,top-fit.ch,info@top-fit.ch,,Steinwiesstrasse 44,Pfäffikon ZH,8330
TrainiQ Fitness und Schmerzfrei-Zentrum,Sara Krattinger,+41 34 530 02 11,www.trainiq.ch,info@trainiq.ch,,Spitalstrasse 18,Sumiswald,3454
Trainsane Gym,Jean-Marc Stettler,+41 31 934 12 12,www.trainsane.ch,info@trainsane.ch,,Bernstrasse 5,Ostermundigen,3072
Fitness-Center Hombrechtikon,,+41 55 244 26 96,fitness-hombrechtikon.ch,info@homisport.ch,,Neuhofweg 10,Hombrechtikon,8634
well come FIT Einstein,Jacqueline Würmli,+41 71 552 00 08,www.wellcomefit.ch,einstein@wellcomefit.ch,,Kappellenstrasse 1,St. Gallen,9000
well come Fit GL,Detlev Schneiders,+41 55 552 00 40,www.wellcomefit.ch,info@wellcomefit.ch,,Centro 6,Netstal,8754
ENTERRA SA,,+41 91 911 46 91,www.villasassa.ch,wellness@villasassa.ch,https://admin.fitness-classification.ch//storage/media/265/624c1c63995d2.jpg,c/o THG MANAGEMENT SA,Lugano,6900
Wenger Fitness Center,Marcel Wenger,+41 71 911 06 06,fitness-wil.ch,info@fitness-wil.ch,https://admin.fitness-classification.ch//storage/media/488/63c14f6d225f8.png,Pestalozzistrasse 17,Wil SG,9500
winti FIT AG,Katrin Pinsini,+41 52 233 14 00,www.wintifit.ch,info@wintifit.ch,https://admin.fitness-classification.ch//storage/media/317/624c22531a808.jpg,Im Hölderli 10,Winterthur,8405
winti FIT AG,Rebekka Wetli,+41 52 233 14 12,www.wintifit.ch,info@wintifit.ch,https://admin.fitness-classification.ch//storage/media/318/624c22a679472.jpg,Riedäckerstrasse 5,Pfungen,8422
well come FIT Holding GmbH,Leigh Brülisauer,+41 44 888 11 11,www.wellcomefit.ch,info@wellcomefit.ch,https://admin.fitness-classification.ch//storage/media/306/624c20bd71afb.jpg,Riedwiesenstrasse 3,Dietlikon,8305
Physiotherapie W. Derksen,Wilbert Derksen,+41 71 841 99 92,www.physio-derksen.ch,w.derksen@bluewin.ch,,Reitbahnstrasse 21,Rorschach,9400
Healthy Space by Rehability Lugano,Martino Donati,+41 91 224 85 74,rehabilitylugano.ch,info@rehabilitylugano.ch,,Via al Chioso 8,Lugano,6900
Panthera Lady's Gym GmbH,Urs Zumstein,+41 41 610 70 00,panthera-ladysgym.ch,info@panthera-ladysgym.ch,https://admin.fitness-classification.ch//storage/media/248/624c1ae9caf37.JPG,Mühlebachstrasse 5,Stans,6370
INDIGO Fitness Zürich AG,,+41 44 212 12 00,,cs@indigofitness.ch,https://admin.fitness-classification.ch//storage/media/284/624c1e8366110.jpg,Sihlporte 3,Zürich,8001
Royal Fitness,,+41 55 243 32 76,www.Newshape.fitness.ch,fitnessworld@gmx.ch,,Werkstrasse 43,Rüti ZH,8630
part Praxis für ambulante Rehabilitation und Training GmbH,Reto Eigenmann,+41 71 411 69 39,www.part-amriswil.ch,info@part-amriswil.ch,,Nordstrasse 7,Amriswil,8580
Viso Gym SA,,+41 32 753 15 66,visogym.ch,visogym@bluewin.ch,,Avenue des Pâquiers 20,St-Blaise,2072
Body Power,,+41 79 911 72 72,www.body-power.ch,info@body-power.ch,https://admin.fitness-classification.ch//storage/media/379/624c282d02fdc.jpg,Obere Bahnhofstrasse 19,Wil SG,9500
Halle41 Zürich West AG,Nadja Caracciolo,+41 43 366 88 66,www.fitness41.ch,info@halle41.ch,,Heinrichstrasse 251,Zürich,8005
Central Gym Romont,Milorad Andric,+41 26 565 55 35,www.centralgym.ch,info@centralgym.ch,,Rue des Comtes 5,Romont FR,1680
LivingWell Geneva,,+41 22 747 02 48,www.starling.fitness.fr,Sarah.Nadas@Hilton.com,,Route François-Peyrot 34,Le Grand-Saconnex,1218
L'Usine Sports Club,,+41 22 319 60 30,www.usineopera.ch,info.contact@usineopera.ch,,Rue Bovy-Lysberg 5,Genève,1204
Body & Soul GmbH,Agnieszka Waller,+41 61 983 00 65,www.bosofit.ch,info@bosofit.ch,https://admin.fitness-classification.ch//storage/media/458/6356f97308409.png,Rebgasse 17,Gelterkinden,4460
Chili Health Training Männedorf,Martin Steiner,+41 43 538 58 06,www.chili-health.ch,maennedorf@chili-health.ch,,Alte Landstrasse 258,Männedorf,8708
rehaAKTIV GmbH,,+41 56 210 10 67,www.rehaaktiv.ch,info@rehaaktiv.ch,,Badenerstrasse 52a,Birmenstorf AG,5413
Physiotherapie und MTTZ AG,,+41 56 667 04 40,www.mttz.ch,info@mttz.ch,https://admin.fitness-classification.ch//storage/media/427/629725c644fcc.png,Hauptstrasse 17,Meisterschwanden,5616
KraftOrt GmbH,,+41 61 731 25 25,www.kraftort.fit,mein@kraftort.fit,https://admin.fitness-classification.ch//storage/media/146/624b1b703f5be.jpg,Metzerlenstrasse 1b,Mariastein,4115
Harmony Meyrin,,+41 22 797 29 29,,meyrin@harmony.ch,,Rue des Bergères 3,Meyrin,1217
Athletic Fitness Bern AG,,+41 31 382 00 70,https://www.athletic.ch/bern/,bern@athletic.ch,,Murtenstrasse 143,Bern,3008
Physio Plus AG,Samuel Weishaupt,+41 44 854 64 66,www.physioplus-dielsdorf.ch,info@physioplus-dielsdorf.ch,https://admin.fitness-classification.ch//storage/media/287/624c1ec9c522a.jpg,Breitestrasse 11,Dielsdorf,8157
MaxxFitness,Tanja Marike Schmid,,,training@maxxfitness.ch,https://admin.fitness-classification.ch//storage/media/366/624c2713ce35e.jpg,Bleichelistrasse 22,Bühler,9055
Medlake Training,Andrea Badstuber,+41 44 991 22 02,www.medlake.ch,info@medlake.ch,https://admin.fitness-classification.ch//storage/media/10/6242d3970ea7d.png,Seestrasse 39,Küsnacht ZH,8700
CTS Fitness,Evan Stegmüller,+41 32 329 19 51,www.ctsbiel-bienne.ch,info@ctsbiel-bienne.ch,,Zentralstrasse 60,Biel/Bienne,2502
Sportcenter Leuggern AG,Renato Rigo,+41 56 269 10 41,scl.li,fitness@scl.li,,Härdlestrasse 3,Leuggern,5316
Lifestyle Fitness und Gesundheitscenter,Philippe Wettstein,+41 62 961 90 90,www.lifestyle-fitness.ch,buchsi@lifestyle-fitness.ch,https://admin.fitness-classification.ch//storage/media/111/624b156628595.png,Industrieweg 2,Herzogenbuchsee,3360
Fitness Center Thusis GmbH,,,,info@fitnesscenterthusis.ch,https://admin.fitness-classification.ch//storage/media/476/63b7f9018553f.jpg,Schützenweg 3,Thusis,7430
Kraftwerk City Fit Chur,Fabiana Benderer,+41 81 252 90 52,www.kraftwerkchur.ch,info@kraftwerkchur.ch,,Steinbockstrasse 4,Chur,7000
Airport Fitness und Wellness AG,,+41 43 816 56 77,www.airport-fitness.ch,t.zeqiri@airport-fitness.ch,,Hotelstrasse,Zürich,8060
MTC Pieter Keulen AG,,+41 41 914 22 66,www.mtc.ch,hochdorf@mtc.ch,,Hohenrainstrasse 2,Hochdorf,6280
MTC Pieter Keulen AG,Pieter Keulen,+41 41 260 68 68,www.mtc.ch,info@mtc.ch,,Seetalstrasse 11,Emmenbrücke,6020
Matrix Gym,Kevin Ziswiler,,www.matrixgym.ch,info@matrixgym.ch,,Bahnhofstrasse 7,Reiden,6260
Seuzifit AG,Kurt Meile,+41 52 320 80 20,www.seuzifit.ch,info@seuzifit.ch,https://admin.fitness-classification.ch//storage/media/319/624c22bf2bac8.jpg,Strehlgasse 24,Seuzach,8472
Lillo's Fitness-Träff GmbH,,+41 56 245 45 10,www.lillosfit.ch,info@lillosfit.ch,,Hauptstrasse 7,Döttingen,5312
Dynamo-Sport,Kathrin Gerber,+41 61 831 70 41,www.dynamo-sport.ch,email@dynamo-sport.ch,https://admin.fitness-classification.ch//storage/media/181/624b208f75e62.jpg,Fassbindstrasse 2A,Rheinfelden,4310
Central Gym Brügg,Granit Ramaj,+41565257475,www.centralgym.ch,bruegg@centralgym.ch,,Industriestrasse 25,Brügg BE,2555
Physio und Fitness Alder GmbH,,+41 81 733 43 53,www.physio-alder.ch,info@physio-alder.ch,,Marktstrasse 17,Flums,8890
Merian Santé,Marlies Meier,+41 61 544 06 07,,training@meriansante.ch,,Thannerstrasse 47,Basel,4054
Eureca,Philippe Sigaud,+41223727214,www.hug.ch,eureca@hcuge.ch,,Gabrielle-Perret-Gentil 4,Genève,1205
Fitness Palace,,+41 27 924 33 00,fitness-palace.ch,info@fitness-palace.ch,https://admin.fitness-classification.ch//storage/media/436/62ea42d9de591.jpg,Neue Simplonstrasse 38,Brig,3900
Athletics Center,,+41 21 968 12 24,www.athletics-center.com,contact@athletics-center.com,https://admin.fitness-classification.ch//storage/media/34/6247150fe574d.jpg,Chemin du Pré-des-Fourches 2,Noville,1845
Physiotherapie Würenlingen,Nico Stam,+41 56 281 13 26,www.physio-wuerenlingen.com,physiowuerenlingen@gmail.com,https://admin.fitness-classification.ch//storage/media/449/633318247d407.png,Wiesenstrasse 4,Würenlingen,5303
TC Training Center Oberriet,,+41 079 265 49 93,,info@tcheerbrugg.ch,,Montlingerstrasse 1,Oberriet SG,9463
UNIK Training GmbH,Ravi Sinnathamby,,www.unik-training.com,training@unik-sports.com,,Bolligenstrasse 82,Bern,3006
Rückgrat AG,Urs Baumann,+41 61 721 49 49,www.rueckgrat-physio.ch,info@rueckgrat-physio.ch,,Teichstrasse 15,Therwil,4106
Gymfit trainiere erfolgreich !,,+41 44 761 77 74,gymfit-affoltern.ch,info@gymfit-affoltern.ch,,Lindenmoostrasse 8,Affoltern am Albis,8910
Gesundheits- und Squashcenter Body Boost,Jessica Reichart,+41 52 222 25 27,www.bodyboost.ch,info@bodyboost.ch,,Riedhofstrasse 59,Winterthur,8408
Bodytec Zone GmbH,Stefano Alessio,061 261 10 69,www.myvitalfit.ch,ste.alessio@gmail.com,,Winzerweg 3,Allschwil,4123
LB Fitness Group AG,,+41 61 681 45 25,www.lbfitness.ch,buchhaltung@lb-fitness.ch,,Rebgasse 28,Basel,4058
PALESTRA CAMPUS ESTUSI/SUPSI,Alessio Manfrè,+41 58 666 47 97,www.sport.usi.ch,sport@usi.ch,,Via la Santa 1,Lugano-Viganello,6900
grow fitness,,+41 71 644 70 77,https://growconcept.com/fitness/,info@growfitness.ch,,Bädlistrasse 89,Sulgen,8583
WELL AG,Ramona Volkart,+41 44 867 48 85,www.well.swiss,info@well.swiss,,Dorfstrasse 77,Glattfelden,8192
SanaTrain,Katja Schmid,+41 55 646 39 70,https://ksgl.ch/angebot/sanatrain,sanatrain@ksgl.ch,https://admin.fitness-classification.ch//storage/media/349/624c253b86034.jpg,Burgstrasse 99,Glarus,8750
CBM sport,,027 722 52 00,www.cbm-sport.ch,cbmsport@gmail.com,,Rue Du Châble-bet 22,Martigny,1920
saluto AG,Evelyne Weber,+41418504365,www.saluto.ch,info@saluto.ch,,Chli Ebnet 3,Küssnacht am Rigi,6403
Vitaltraining Citycenter,Roger Langel,+41435431110,www.vitaltraining.ch,hello@vitaltraining.ch,,Adlerstrasse 1,Dübendorf,8600
Wettstein's fit54,Antoinette Wettstein,+41564910203,www.fit54.ch,info@fit54.ch,,Lenzburgerstrasse 50,Mellingen,5507
Physioplus Hergiswil GmbH,Mauro Bove,041 630 42 45,www.physioplus-hergiswil.ch,mb@physioplus-hergiswil.ch,,Zwydenweg 2,Hergiswil NW,6052
Fitness Insel AG,Fabian Möckli,+41 71 577 07 07,www.fitness-island.ch,info@fitness-island.ch,https://admin.fitness-classification.ch//storage/media/387/624c28936b4f6.jpg,Industriestrasse 25,Bronschhofen,9552
13étoiles Fitness SARL,,+41273229922,www.13etoilesfitness.ch,info@13etoilesfitness.ch,https://admin.fitness-classification.ch//storage/media/43/6247161181f62.jpg,Route d'italie 156,Uvrier,1958
ATLANTIDE SA,,+41 91 966 13 13,a-club.ch,contabilita@a-club.ch,,Via Campo Sportivo,Savosa,6942
Fit Concept Spa Barben,,,www.fitconceptspa.ch,info@fitconceptspa.ch,,Av. de la Rochelle 5,Prilly,1008
Physiotherapie Herrliberg GmbH,,+41 43 27 75 288,www.health-physio.ch,info@health-physio.ch,,Dorf 30,Herrliberg,8704
Fitnessbox AG,Michael Rüfenacht,+41 61 781 14 14,www.fitnessbox.ch,info@fitnessbox.ch,,Langhagweg 45,Laufen,4242
Acropolis Therapie Fitness Wellness,Patrick Iten,+41 56 622 91 55,www.acropolis.ch,info@acropolis.ch,https://admin.fitness-classification.ch//storage/media/244/624c1a5047175.jpg,Zentralstrasse 30A,Wohlen AG,5610
PKF FUTUR SNC,,,www.pkfcenter.ch,futur@pkfcenter.ch,,Chemin des Lentillères 5F,Crissier,1023
Kraftakt SportHub,Gina Di Nardo,,www.kraftakt.ch,info@kraftakt.ch,,Bernapark 28,Stettlen,3066
FRITZ bewegt mich,,+41 44 933 30 30,www.fritzbewegtmich.ch,rausch@fritzbewegtmich.ch,https://admin.fitness-classification.ch//storage/media/341/624c2484c9de6.jpg,Uster-West 11,Uster,8610
Bodypower24 Winterhur,,079 420 61 58,www.bodypower24.ch,info@bodypower24.ch,https://admin.fitness-classification.ch//storage/media/407/624d5f0527109.PNG,Steigstrasse 26,Winterthur,8406
MiraBelle Figurstudio für Frauen,,+41 55 212 10 11,www.mirabellefit.ch,anna.garcia@sunrise.ch,,Molkereistrasse 3,Jona,8645
OPEN RIDE,,+41 44 291 93 40,www.openride.ch,hey@openride.ch,,Europaallee 13,Zürich,8004
"attica Private Gym, Health & Spa",Katarina Djordjevic,+41527280414,www.attica-gym.ch,info@attica-gym.ch,,Maurerstrasse 6,Frauenfeld,8500
Mind Revolution GmbH,Levent Liechti,,www.raion-dojo.ch,info@raion-dojo.ch,https://admin.fitness-classification.ch//storage/media/470/63a552b273a34.png,Schenkstrasse 13,Wangen an der Aare,3380
Aristote Concept Porrentruy,,+41 32 554 23 22,www.aristoteconcept.ch,porrentruy@aristoteconcept.ch,https://admin.fitness-classification.ch//storage/media/428/629764266da27.png,Route d'Alle 1b,Porrentruy,2900
TONWERK VITAL AG,,+410615255123,www.tonwerk-vital.ch,info@tonwerk-vital.ch,,Bahnhofstrasse 8,Lausen,4415
Il Centro Giubiasco,Yari Bellini,+41912210210,www.ilcentro.ch,info@ilcentro.ch,https://admin.fitness-classification.ch//storage/media/495/63e3bc0a8fc70.jpg,Via Del tiglio 2,Giubiasco,6512
